1,modzcta,all_years_avg_testers,all_years_avg_offers,all_years_wt_avg,2015_19_avg_testers,2015_19_avg_offers,2015_19_wt_avg,avg_testers_2020,avg_offers_2020,wt_avg_2020,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020,cum_ave_death_rate
112,11360,49.5,35,12,47,32.5,14,56,10,10,316,1640,19.3,NA,131.3,31.5,NA,NA,NA,0,0,0,NA,54.26666666666667
113,11361,216.5,152,84.5,217.5,153,87.5,200,65,65,452,2150,21,NA,197.2,45.5,NA,NA,NA,NA,NA,0,NA,121.35
114,11362,211.5,151.5,90.5,208.5,148.5,82.5,219,97,97,312,1340,23.3,NA,165.7,27.6,27.6,NA,NA,0,0,0,NA,55.224999999999994
115,11364,209.5,161.5,92,212.5,164.5,99,221,82,82,463,2251,20.6,NA,106.5,NA,NA,NA,0,0,0,0,NA,35.5
116,11365,147,91,76.640625,154,98,80.140625,133.5,34.5,62.2322097378277,827,3386,24.4,27.4,136.9,27.4,NA,0,0,0,NA,0,13.7,31.95
117,11366,22.5,13,5.61702127659574,20,10.5,5.61702127659574,21,5,5,389,1322,29.4,42.2,168.9,NA,0,0,NA,NA,NA,0,NA,52.775000000000006
118,11367,29.3333333333333,18,9.30412371134021,35.3333333333333,24.5,9.30412371134021,26.3333333333333,6.33333333333333,6.62025316455696,1030,3862,26.7,19.7,137.7,29.5,NA,0,0,0,0,NA,NA,31.15
119,11368,54,27,6.97540983606557,65,38,6.97540983606557,47,5,5,4524,13087,34.6,68.9,315.3,51.6,6.3,NA,0,NA,NA,NA,12.7,88.42
120,11369,110,64,21.5619047619048,116.5,70.5,19.5619047619048,115.5,16.5,25.3116883116883,1605,4658,34.5,83.3,469.9,80.3,14.9,NA,NA,0,0,NA,NA,129.68
121,11372,152,84.5,15.9169381107492,167.5,100.5,18.4169381107492,150,13,12.64,2506,7976,31.4,82.4,313.1,70.9,9.9,NA,8.2,NA,NA,8.2,19.8,96.9
122,11373,131.5,76.5,35.0553633217993,150,95,39.0553633217993,118.5,18.5,22.337552742616,3212,10512,30.6,44.7,267.3,42.6,9.8,NA,NA,0,NA,NA,9.8,72.88000000000001
123,11374,195,133.5,61,221.5,160,64,205,60,60,1069,4177,25.6,24.2,164.3,36.2,16.9,NA,0,NA,NA,NA,24.2,48.32
124,11375,85,55,39.75,84,54,43.75,84,24.5,38.1964285714286,1496,6019,24.9,25.3,206.3,37.9,NA,NA,0,NA,0,7,18.2,67.375
125,11377,216,103,26,228.5,115.5,27,174,20,20,2227,8610,25.9,45.2,199.9,32.1,13.1,NA,0,NA,0,NA,14.3,58.06
126,11378,261,150.5,44,317,206.5,52.5,257,44,44,734,3174,23.1,24.9,174.3,22.1,NA,NA,0,0,0,NA,NA,44.260000000000005
