zip,modzcta,dbn,feeder_school,n_hs_applicants,n_testers,n_offers,year,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020
10003,10003,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",22,12,5,2018,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M255,M.S. 255 SALK SCHOOL OF SCIENCE (02M255),132,101,61,2019,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M260,THE CLINTON SCHOOL (02M260),97,37,11,2019,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION (02M407),75,7,5,2019,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE (02M442)",20,11,5,2019,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M255,M.S. 255 SALK SCHOOL OF SCIENCE (02M255),125,104,72,2020,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M260,THE CLINTON SCHOOL (02M260),94,46,22,2020,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION (02M407),71,17,5,2020,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE (02M442)",25,17,5,2020,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10004,10004,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,66,66,13,2015,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0
10004,10004,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,126,73,13,2016,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0
10004,10004,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,129,70,8,2017,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0
