modzcta,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,cum_ave_death_rate
11413,39.3,185.2,37,NA,0,0,0,NA,0,NA,43.58333333333333
11414,49.4,186.9,31.7,NA,NA,0,0,0,0,21.2,53.6
11415,26.5,249,53,31.8,NA,NA,0,0,0,NA,72.06
11416,26.5,174.3,22.7,NA,NA,0,NA,NA,NA,18.9,55.875
11417,22.6,125.6,16.1,NA,0,NA,0,NA,NA,NA,32.86
11418,34.6,191.6,39.9,NA,0,NA,0,0,0,16,53.22
11419,28.9,173.2,39.2,NA,NA,0,NA,0,NA,12.4,60.324999999999996
11420,29.3,169.3,39.7,NA,0,0,0,NA,0,12.5,39.71666666666667
11421,32.5,219.7,30,0,NA,0,NA,0,0,15,56.44
11422,40.1,166.7,34,0,0,0,0,0,NA,NA,34.4
11423,48.2,350.1,51.4,16.1,NA,NA,NA,0,NA,19.3,116.45
11426,NA,128.9,34.7,NA,NA,0,0,0,0,NA,40.900000000000006
11427,29.7,135.7,29.7,NA,NA,0,0,0,NA,NA,39.019999999999996
11428,26.9,258.3,43.1,NA,NA,0,0,NA,0,NA,65.66
11429,21.6,201.4,61.1,NA,NA,0,0,NA,0,18,56.82
11432,54.3,312.7,67.5,19.8,NA,0,NA,NA,NA,21.4,90.86
11433,30.1,230,30.1,NA,0,0,NA,NA,0,16.4,58.04
11434,44.9,236.7,56.9,9,7.5,NA,0,NA,NA,15,59.166666666666664
11435,30.8,215.7,58.2,NA,NA,0,0,0,12,NA,60.94
11436,29.9,189.6,NA,NA,NA,0,0,NA,NA,NA,54.875
11691,65.8,471.2,74.8,29.9,9,NA,NA,NA,NA,10.5,130.14
11692,52.3,399.4,85.6,33.3,NA,0,NA,NA,0,NA,114.11999999999999
11693,55.2,260.4,0,0,NA,NA,0,NA,0,NA,63.12
11694,24.1,375.4,81.8,NA,NA,NA,NA,NA,0,NA,160.43333333333334
11697,NA,NA,NA,0,0,NA,NA,NA,0,0,0
