zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,x3_2020,x4_2020,x5_2020,x6_2020,x7_2020,x8_2020,x9_2020,x10_2020,x11_2020,x12_2020,cum_ave_death_rate
10023,10023,03M291,108,55,19,2019,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M859,18,5,5,2019,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M191,68,10,5,2020,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M291,105,29,12,2020,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M859,12,7,5,2020,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10024,10024,03M243,42,42,20,2015,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M245,69,69,19,2015,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M334,61,61,54,2015,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M243,58,48,20,2016,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M245,130,57,17,2016,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M334,74,67,51,2016,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M243,57,38,14,2017,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M245,133,70,19,2017,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M334,76,75,58,2017,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M243,60,41,12,2019,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M245,139,65,17,2019,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M334,61,55,33,2019,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10024,10024,03M243,59,32,14,2020,MANHATTAN,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
