zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,positive,total,modzcta_cum_perc_pos
10025,10025,03M250,56,6,5,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M256,40,18,5,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M258,74,14,5,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M333,63,18,5,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M421,71,24,5,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M862,138,49,5,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M054,262,219,126,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M247,74,20,5,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M250,49,8,5,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M256,49,14,5,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M258,83,9,5,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M333,58,21,5,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M421,64,16,5,2020,MANHATTAN,1338,8539,15.7
10025,10025,03M862,146,89,7,2020,MANHATTAN,1338,8539,15.7
10026,10026,03M149,5,5,5,2015,MANHATTAN,639,3141,20.3
10026,10026,03M415,5,5,5,2015,MANHATTAN,639,3141,20.3
10026,10026,03M860,5,5,5,2015,MANHATTAN,639,3141,20.3
10026,10026,03M149,27,5,5,2016,MANHATTAN,639,3141,20.3
10026,10026,03M415,12,5,5,2016,MANHATTAN,639,3141,20.3
10026,10026,03M860,31,5,5,2016,MANHATTAN,639,3141,20.3
10026,10026,03M149,27,5,5,2017,MANHATTAN,639,3141,20.3
10026,10026,03M415,16,5,5,2017,MANHATTAN,639,3141,20.3
10026,10026,03M860,9,5,5,2017,MANHATTAN,639,3141,20.3
10026,10026,03M149,27,5,5,2019,MANHATTAN,639,3141,20.3
10026,10026,03M415,35,5,5,2019,MANHATTAN,639,3141,20.3
10026,10026,03M860,21,5,5,2019,MANHATTAN,639,3141,20.3
10026,10026,03M149,29,5,5,2020,MANHATTAN,639,3141,20.3
10026,10026,03M415,25,5,5,2020,MANHATTAN,639,3141,20.3
10026,10026,03M860,23,5,5,2020,MANHATTAN,639,3141,20.3
10027,10027,03M076,14,14,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,03M180,25,25,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,05M129,10,10,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,05M161,22,22,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,05M286,6,6,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,05M362,38,38,19,2015,MANHATTAN,1026,4767,21.5
10027,10027,05M514,10,10,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,06M223,75,75,5,2015,MANHATTAN,1026,4767,21.5
10027,10027,03M076,49,15,5,2016,MANHATTAN,1026,4767,21.5
10027,10027,03M180,63,24,5,2016,MANHATTAN,1026,4767,21.5
10027,10027,05M129,51,12,5,2016,MANHATTAN,1026,4767,21.5
