date,zcta,deathrate
5/2020,10023,9.7
5/2020,10024,27.4
5/2020,10025,43.7
5/2020,10026,33.6
5/2020,10027,22.1
5/2020,10028,14.8
5/2020,10029,53.7
5/2020,10030,23.9
5/2020,10031,30.5
5/2020,10032,36.5
5/2020,10033,41
5/2020,10034,21.3
5/2020,10035,51.1
5/2020,10036,33
5/2020,10037,24
5/2020,10038,43.7
5/2020,10039,47.8
5/2020,10040,54.6
5/2020,10044,68.5
5/2020,10065,NA
5/2020,10069,NA
5/2020,10075,52.1
5/2020,10128,20.5
5/2020,10280,NA
5/2020,10282,NA
5/2020,10301,51.4
5/2020,10302,27
5/2020,10303,45.3
5/2020,10304,71.6
5/2020,10305,42
5/2020,10306,18.9
5/2020,10307,NA
5/2020,10308,NA
5/2020,10309,15.2
5/2020,10310,34.1
5/2020,10312,18
5/2020,10314,54
5/2020,10451,40.1
5/2020,10452,29.3
5/2020,10453,38.1
5/2020,10454,34.4
5/2020,10455,43
5/2020,10456,47.2
5/2020,10457,38
5/2020,10458,37.5
5/2020,10459,33.4
5/2020,10460,25.5
5/2020,10461,61.1
5/2020,10462,45.1
5/2020,10463,64.3
5/2020,10464,NA
5/2020,10465,20.9
5/2020,10466,32.3
5/2020,10467,53.9
5/2020,10468,65.5
5/2020,10469,64.7
5/2020,10470,NA
5/2020,10471,75.3
5/2020,10472,53
5/2020,10473,35.5
5/2020,10474,50.1
5/2020,10475,65.5
5/2020,11004,73.9
5/2020,11101,13.6
5/2020,11102,56.6
5/2020,11103,31.5
5/2020,11104,39.3
5/2020,11105,44.2
5/2020,11106,32.1
5/2020,11109,NA
5/2020,11201,40.1
5/2020,11203,46.4
5/2020,11204,28.5
5/2020,11205,13.2
5/2020,11206,26.5
5/2020,11207,35.9
5/2020,11208,41.9
5/2020,11209,37
5/2020,11210,33.5
5/2020,11211,12.8
5/2020,11212,41.9
5/2020,11213,38.7
5/2020,11214,46.3
5/2020,11215,11.5
5/2020,11216,42
5/2020,11217,39.1
5/2020,11218,36.5
5/2020,11219,26.6
5/2020,11220,23.3
5/2020,11221,40.5
5/2020,11222,22.1
5/2020,11223,47.9
5/2020,11224,99.4
5/2020,11225,38.3
5/2020,11226,41.1
5/2020,11228,26.7
5/2020,11229,35.9
5/2020,11230,38.2
5/2020,11231,13.4
5/2020,11232,44.3
5/2020,11233,33.6
5/2020,11234,29.8
5/2020,11235,76.7
5/2020,11236,39.1
5/2020,11237,37.5
5/2020,11238,39.2
5/2020,11239,92.1
5/2020,11354,109.4
5/2020,11355,38
5/2020,11356,26.3
5/2020,11357,49.1
5/2020,11358,16.7
5/2020,11360,31.5
5/2020,11361,45.5
5/2020,11362,27.6
5/2020,11363,NA
5/2020,11364,NA
5/2020,11365,27.4
5/2020,11366,NA
5/2020,11367,29.5
5/2020,11368,51.6
5/2020,11369,80.3
5/2020,11370,NA
5/2020,11372,70.9
5/2020,11373,42.6
5/2020,11374,36.2
5/2020,11375,37.9
5/2020,11377,32.1
5/2020,11378,22.1
5/2020,11379,40.9
5/2020,11385,23.2
5/2020,11411,28.1
5/2020,11412,28.9
5/2020,11413,37
5/2020,11414,31.7
5/2020,11415,53
5/2020,11416,22.7
5/2020,11417,16.1
5/2020,11418,39.9
5/2020,11419,39.2
5/2020,11420,39.7
5/2020,11421,30
5/2020,11422,34
5/2020,11423,51.4
5/2020,11426,34.7
5/2020,11427,29.7
5/2020,11428,43.1
5/2020,11429,61.1
5/2020,11432,67.5
5/2020,11433,30.1
5/2020,11434,56.9
5/2020,11435,58.2
5/2020,11436,NA
