"","modzcta","avg_testers","avg_offers","wt_avg"
"50",10306,85.1666666666667,9.5,9.62230919765166
"51",10307,81.5,8.83333333333333,9.24130879345603
"52",10308,148.666666666667,19.1666666666667,19.9775784753363
"53",10309,NA,NA,NA
"54",10310,84.1666666666667,16,16.5029702970297
"55",10312,134.916666666667,30.5,31.8196417541692
"56",10314,NA,NA,NA
"57",10451,10.1,5,5
"58",10452,29.3888888888889,5,5
"59",10453,22.8166666666667,5,5
"60",10454,12.6666666666667,5,5
"61",10455,12.9545454545455,5,5
"62",10456,21.1447368421053,5.01315789473684,5.04853764779091
"63",10457,26.9759036144578,6.13253012048193,14.4350156319786
"64",10458,31.125,5,5
"65",10459,7.83333333333333,5,5
"66",10460,18.0416666666667,5,5
"67",10461,72.3333333333333,5.5,5.46543778801843
"68",10462,77.0833333333333,8.5,9.35459459459459
"69",10463,49.3333333333333,6.96666666666667,8.51081081081081
"70",10464,13.1666666666667,5,5
"71",10465,45.6666666666667,9.16666666666667,13.0474452554745
"72",10466,22.7777777777778,5,5
"73",10467,32.0185185185185,5,5
"74",10468,17.5,5,5
"75",10469,40.7222222222222,5,5
"76",10470,29.5,5,5
"77",10471,NA,NA,NA
"78",10472,32.625,5.08333333333333,5.17624521072797
"79",10473,17.9,5,5
"80",10474,7.16666666666667,5,5
"81",10475,101,6.27777777777778,6.72112211221122
"82",11004,NA,NA,NA
"83",11101,32.2777777777778,6.38888888888889,7.23924268502582
"84",11102,13.8333333333333,5.08333333333333,5.13855421686747
"85",11103,62.5,5.33333333333333,5.448
"86",11104,NA,NA,NA
"87",11105,133.666666666667,39.3333333333333,34.0068578553616
"88",11106,48.6666666666667,22.2916666666667,27.6592465753425
"89",11109,18.8333333333333,5,5
"90",11201,27.5909090909091,6.54545454545455,8.01153212520593
"91",11203,27.8333333333333,5,5
"92",11204,69.4814814814815,12.6296296296296,17.282249466951
"93",11205,21.4333333333333,5.13333333333333,5.15863141524106
"94",11206,45.6666666666667,9.13333333333333,22.4795620437956
"95",11207,20.1428571428571,5.10204081632653,5.38500506585613
"96",11208,15.9375,5,5
"97",11209,NA,NA,NA
"98",11210,47.25,5.08333333333333,5.18165784832452
"99",11211,40.1666666666667,5.11111111111111,5.24896265560166
"100",11212,18.4,5.03333333333333,5.09782608695652
"101",11213,31.6923076923077,5,5
"102",11214,56.2916666666667,9.45833333333333,18.1250925240563
"103",11215,128.583333333333,34.7083333333333,62.9935191186001
