"","dbn","feeder_school","n_hs_applicants","n_testers","n_offers","year","zip"
"199","12X267","BRONX LATIN",16,16,5,"2015"," 10456"
"200","12X271","EAST BRONX ACADEMY FOR THE FUTURE",7,7,5,"2015"," 10460"
"201","12X273","FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL",33,33,5,"2015"," 10457"
"202","12X286","FANNIE LOU HAMER MIDDLE SCHOOL",8,8,5,"2015"," 10460"
"203","12X316","KAPPA III",34,34,5,"2015"," 10460"
"204","12X318","I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",15,15,5,"2015"," 10457"
"205","12X341","ACCION ACADEMY",9,9,5,"2015"," 10459"
"206","12X383","EMOLIOR ACADEMY",21,21,5,"2015"," 10460"
"207","13K008","P.S. 008 ROBERT FULTON",34,34,7,"2015"," 11201"
"208","13K113","M.S. 113 RONALD EDMONDS LEARNING CENTER",58,58,5,"2015"," 11205"
"209","13K265","DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS",10,10,5,"2015"," 11205"
"210","13K266","M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL",6,6,5,"2015"," 11217"
"211","13K301","SATELLITE EAST MIDDLE SCHOOL",9,9,5,"2015"," 11216"
"212","13K313","DOCK STREET SCHOOL FOR STEAM STUDIES",11,11,5,"2015"," 11201"
"213","13K351","THE URBAN ASSEMBLY UNISON SCHOOL",16,16,5,"2015"," 11238"
"214","13K492","ACADEMY OF ARTS AND LETTERS",26,26,5,"2015"," 11205"
"215","13K527","URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN",20,20,5,"2015"," 11201"
"216","13K691","FORT GREENE PREPARATORY ACADEMY",20,20,5,"2015"," 11205"
"217","14K050","J.H.S. 050 JOHN D. WELLS",11,11,5,"2015"," 11211"
"218","14K071","JUAN MOREL CAMPOS SECONDARY SCHOOL",5,5,5,"2015"," 11206"
"219","14K084","P.S. 084 JOSE DE DIEGO",5,5,5,"2015"," 11211"
"220","14K126","JOHN ERICSSON MIDDLE SCHOOL 126",31,31,5,"2015"," 11222"
"221","14K157","P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY",8,8,5,"2015"," 11205"
"222","14K318","I.S. 318 EUGENIO MARIA DE HOSTOS",220,220,29,"2015"," 11206"
"223","14K577","CONSELYEA PREPARATORY SCHOOL",65,65,5,"2015"," 11211"
"224","14K582","M.S. 582",10,10,5,"2015"," 11206"
"225","14K586","LYONS COMMUNITY SCHOOL",5,5,5,"2015"," 11206"
"226","14K614","YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN",5,5,5,"2015"," 11206"
"227","15K051","M.S. 51 WILLIAM ALEXANDER",272,272,96,"2015"," 11215"
"228","15K088","J.H.S. 088 PETER ROUGET",123,123,10,"2015"," 11215"
"229","15K136","I.S. 136 CHARLES O. DEWEY",27,27,5,"2015"," 11232"
"230","15K442","M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION",10,10,5,"2015"," 11231"
"231","15K443","NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS",79,79,6,"2015"," 11215"
"232","15K447","THE MATH & SCIENCE EXPLORATORY SCHOOL",120,120,58,"2015"," 11217"
"233","15K448","BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",11,11,5,"2015"," 11231"
"234","15K464","PARK SLOPE COLLEGIATE",12,12,5,"2015"," 11215"
"235","15K497","THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES",5,5,5,"2015"," 11201"
"236","15K821","SUNSET PARK PREP",61,61,5,"2015"," 11232"
"237","15K839","M.S. 839",5,5,5,"2015"," 11218"
"238","16K035","M.S. 035 STEPHEN DECATUR",15,15,5,"2015"," 11233"
"239","16K057","J.H.S. 057 WHITELAW REID",11,11,5,"2015"," 11221"
"240","16K267","M.S. 267 MATH, SCIENCE & TECHNOLOGY",25,25,5,"2015"," 11221"
"241","16K308","P.S. 308 CLARA CARDWELL",6,6,5,"2015"," 11221"
"242","16K681","MADIBA PREP MIDDLE SCHOOL",30,30,5,"2015"," 11221"
"243","17K002","PARKSIDE PREPARATORY ACADEMY",58,58,5,"2015"," 11226"
"244","17K061","M.S. 061 DR. GLADSTONE H. ATWELL",58,58,5,"2015"," 11225"
"245","17K138","P.S. 138 BROOKLYN",19,19,5,"2015"," 11216"
"246","17K181","P.S. 181 BROOKLYN",30,30,5,"2015"," 11203"
"247","17K189","P.S. 189 THE BILINGUAL CENTER",54,54,7,"2015"," 11212"
"248","17K246","M.S. 246 WALT WHITMAN",23,23,5,"2015"," 11226"
"249","17K340","I.S. 340",40,40,5,"2015"," 11238"
"250","17K352","EBBETS FIELD MIDDLE SCHOOL",8,8,5,"2015"," 11225"
"251","17K353","ELIJAH STROUD MIDDLE SCHOOL",13,13,5,"2015"," 11238"
"252","17K354","THE SCHOOL OF INTEGRATED LEARNING",31,31,5,"2015"," 11213"
"253","17K382","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL",14,14,5,"2015"," 11226"
"254","17K394","M.S. K394",23,23,5,"2015"," 11213"
"255","17K484","RONALD EDMONDS LEARNING CENTER II",6,6,5,"2015"," 11233"
"256","17K543","SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",14,14,5,"2015"," 11226"
"257","17K590","MEDGAR EVERS COLLEGE PREPARATORY SCHOOL",26,26,5,"2015"," 11225"
"258","17K722","NEW HEIGHTS MIDDLE SCHOOL",13,13,5,"2015"," 11203"
"259","18K066","P.S. 66",42,42,5,"2015"," 11236"
"260","18K068","I.S. 068 ISAAC BILDERSEE",27,27,5,"2015"," 11236"
"261","18K211","I.S. 211 JOHN WILSON",55,55,5,"2015"," 11236"
"262","18K235","P.S. 235 JANICE MARIE KNIGHT SCHOOL",75,75,11,"2015"," 11236"
"263","18K285","I.S. 285 MEYER LEVIN",75,75,5,"2015"," 11203"
